seqid,source,type,start,end,score,strand,phase,attributes
NC_059182.1,Gnomon,gene,1767602,1769360,.,-,.,ID=gene-LOC116936527;Dbxref=GeneID:116936527;Name=LOC116936527;gbkey=Gene;gene=LOC116936527;gene_biotype=protein_coding
NC_059182.1,Gnomon,mRNA,1767602,1769360,.,-,.,"ID=rna-XM_032943688.2;Parent=gene-LOC116936527;Dbxref=GeneID:116936527,Genbank:XM_032943688.2;Name=XM_032943688.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116936527;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 53 samples with support for all annotated introns;product=protein spaetzle 5;transcript_id=XM_032943688.2"
NC_059182.1,Gnomon,exon,1767602,1767936,.,-,.,"ID=exon-XM_032943688.2-5;Parent=rna-XM_032943688.2;Dbxref=GeneID:116936527,Genbank:XM_032943688.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116936527;product=protein spaetzle 5;transcript_id=XM_032943688.2"
NC_059182.1,Gnomon,CDS,1767765,1767936,.,-,1,"ID=cds-XP_032799579.2;Parent=rna-XM_032943688.2;Dbxref=GeneID:116936527,Genbank:XP_032799579.2;Name=XP_032799579.2;gbkey=CDS;gene=LOC116936527;product=protein spaetzle 5;protein_id=XP_032799579.2"
NC_059182.1,RefSeq,region,1,19099978,.,+,.,ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059182.1,Gnomon,gene,1935718,1940868,.,+,.,ID=gene-LOC116936564;Dbxref=GeneID:116936564;Name=LOC116936564;gbkey=Gene;gene=LOC116936564;gene_biotype=protein_coding
NC_059182.1,Gnomon,mRNA,1935718,1940868,.,+,.,"ID=rna-XM_032943739.2;Parent=gene-LOC116936564;Dbxref=GeneID:116936564,Genbank:XM_032943739.2;Name=XM_032943739.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116936564;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 137 samples with support for all annotated introns;product=flocculation protein FLO11;transcript_id=XM_032943739.2"
NC_059182.1,Gnomon,exon,1935978,1936955,.,+,.,"ID=exon-XM_032943739.2-2;Parent=rna-XM_032943739.2;Dbxref=GeneID:116936564,Genbank:XM_032943739.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116936564;product=flocculation protein FLO11;transcript_id=XM_032943739.2"
NC_059182.1,Gnomon,CDS,1935999,1936955,.,+,0,"ID=cds-XP_032799630.2;Parent=rna-XM_032943739.2;Dbxref=GeneID:116936564,Genbank:XP_032799630.2;Name=XP_032799630.2;gbkey=CDS;gene=LOC116936564;product=flocculation protein FLO11;protein_id=XP_032799630.2"
NC_059182.1,RefSeq,region,1,19099978,.,+,.,ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059182.1,Gnomon,gene,2586437,2588262,.,-,.,ID=gene-LOC116925479;Dbxref=GeneID:116925479;Name=LOC116925479;gbkey=Gene;gene=LOC116925479;gene_biotype=protein_coding
NC_059182.1,Gnomon,mRNA,2586437,2588262,.,-,.,"ID=rna-XM_032932509.2;Parent=gene-LOC116925479;Dbxref=GeneID:116925479,Genbank:XM_032932509.2;Name=XM_032932509.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116925479;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 10 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 128 samples with support for all annotated introns;product=charged multivesicular body protein 2b-B%2C transcript variant X1;transcript_id=XM_032932509.2"
NC_059182.1,Gnomon,exon,2586759,2587046,.,-,.,"ID=exon-XM_032932509.2-6;Parent=rna-XM_032932509.2;Dbxref=GeneID:116925479,Genbank:XM_032932509.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116925479;product=charged multivesicular body protein 2b-B%2C transcript variant X1;transcript_id=XM_032932509.2"
NC_059182.1,Gnomon,CDS,2586759,2587046,.,-,0,"ID=cds-XP_032788400.1;Parent=rna-XM_032932509.2;Dbxref=GeneID:116925479,Genbank:XP_032788400.1;Name=XP_032788400.1;gbkey=CDS;gene=LOC116925479;product=charged multivesicular body protein 2b-B;protein_id=XP_032788400.1"
NC_059182.1,Gnomon,mRNA,2586437,2588062,.,-,.,"ID=rna-XM_045180661.1;Parent=gene-LOC116925479;Dbxref=GeneID:116925479,Genbank:XM_045180661.1;Name=XM_045180661.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116925479;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 10 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 132 samples with support for all annotated introns;product=charged multivesicular body protein 2b-B%2C transcript variant X2;transcript_id=XM_045180661.1"
NC_059182.1,Gnomon,exon,2586759,2587046,.,-,.,"ID=exon-XM_045180661.1-5;Parent=rna-XM_045180661.1;Dbxref=GeneID:116925479,Genbank:XM_045180661.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116925479;product=charged multivesicular body protein 2b-B%2C transcript variant X2;transcript_id=XM_045180661.1"
NC_059182.1,Gnomon,CDS,2586759,2587046,.,-,0,"ID=cds-XP_045036596.1;Parent=rna-XM_045180661.1;Dbxref=GeneID:116925479,Genbank:XP_045036596.1;Name=XP_045036596.1;gbkey=CDS;gene=LOC116925479;product=charged multivesicular body protein 2b-B;protein_id=XP_045036596.1"
NC_059182.1,RefSeq,region,1,19099978,.,+,.,ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059182.1,Gnomon,gene,4284174,4285760,.,+,.,ID=gene-LOC116930270;Dbxref=GeneID:116930270;Name=LOC116930270;gbkey=Gene;gene=LOC116930270;gene_biotype=protein_coding
NC_059182.1,Gnomon,mRNA,4284174,4285760,.,+,.,"ID=rna-XM_032937665.2;Parent=gene-LOC116930270;Dbxref=GeneID:116930270,Genbank:XM_032937665.2;Name=XM_032937665.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116930270;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 5 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 146 samples with support for all annotated introns;product=E3 ubiquitin-protein ligase RNF170;transcript_id=XM_032937665.2"
NC_059182.1,Gnomon,exon,4284174,4284450,.,+,.,"ID=exon-XM_032937665.2-1;Parent=rna-XM_032937665.2;Dbxref=GeneID:116930270,Genbank:XM_032937665.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116930270;product=E3 ubiquitin-protein ligase RNF170;transcript_id=XM_032937665.2"
NC_059182.1,Gnomon,CDS,4284347,4284450,.,+,0,"ID=cds-XP_032793556.1;Parent=rna-XM_032937665.2;Dbxref=GeneID:116930270,Genbank:XP_032793556.1;Name=XP_032793556.1;gbkey=CDS;gene=LOC116930270;product=E3 ubiquitin-protein ligase RNF170;protein_id=XP_032793556.1"
NC_059182.1,RefSeq,region,1,19099978,.,+,.,ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059182.1,Gnomon,gene,4352150,4357863,.,-,.,ID=gene-LOC123476823;Dbxref=GeneID:123476823;Name=LOC123476823;gbkey=Gene;gene=LOC123476823;gene_biotype=lncRNA
NC_059182.1,Gnomon,lnc_RNA,4352150,4357863,.,-,.,"ID=rna-XR_006651692.1;Parent=gene-LOC123476823;Dbxref=GeneID:123476823,Genbank:XR_006651692.1;Name=XR_006651692.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=ncRNA;gene=LOC123476823;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns;product=uncharacterized LOC123476823%2C transcript variant X3;transcript_id=XR_006651692.1"
NC_059182.1,Gnomon,exon,4354219,4354550,.,-,.,"ID=exon-XR_006651692.1-9;Parent=rna-XR_006651692.1;Dbxref=GeneID:123476823,Genbank:XR_006651692.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=ncRNA;gene=LOC123476823;product=uncharacterized LOC123476823%2C transcript variant X3;transcript_id=XR_006651692.1"
NC_059182.1,Gnomon,lnc_RNA,4352150,4357863,.,-,.,"ID=rna-XR_006651691.1;Parent=gene-LOC123476823;Dbxref=GeneID:123476823,Genbank:XR_006651691.1;Name=XR_006651691.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=ncRNA;gene=LOC123476823;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns;product=uncharacterized LOC123476823%2C transcript variant X2;transcript_id=XR_006651691.1"
NC_059182.1,Gnomon,exon,4354219,4354550,.,-,.,"ID=exon-XR_006651691.1-9;Parent=rna-XR_006651691.1;Dbxref=GeneID:123476823,Genbank:XR_006651691.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=ncRNA;gene=LOC123476823;product=uncharacterized LOC123476823%2C transcript variant X2;transcript_id=XR_006651691.1"
NC_059182.1,RefSeq,region,1,19099978,.,+,.,ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059182.1,Gnomon,gene,6695812,6698731,.,+,.,ID=gene-LOC116930116;Dbxref=GeneID:116930116;Name=LOC116930116;gbkey=Gene;gene=LOC116930116;gene_biotype=protein_coding
NC_059182.1,Gnomon,mRNA,6695812,6698731,.,+,.,"ID=rna-XM_032937486.2;Parent=gene-LOC116930116;Dbxref=GeneID:116930116,Genbank:XM_032937486.2;Name=XM_032937486.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116930116;model_evidence=Supporting evidence includes similarity to: 14 ESTs%2C 376 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 145 samples with support for all annotated introns;product=heat shock 70 kDa protein cognate 4;transcript_id=XM_032937486.2"
NC_059182.1,Gnomon,exon,6696311,6696883,.,+,.,"ID=exon-XM_032937486.2-2;Parent=rna-XM_032937486.2;Dbxref=GeneID:116930116,Genbank:XM_032937486.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116930116;product=heat shock 70 kDa protein cognate 4;transcript_id=XM_032937486.2"
NC_059182.1,Gnomon,CDS,6696317,6696883,.,+,0,"ID=cds-XP_032793377.1;Parent=rna-XM_032937486.2;Dbxref=GeneID:116930116,Genbank:XP_032793377.1;Name=XP_032793377.1;gbkey=CDS;gene=LOC116930116;product=heat shock 70 kDa protein cognate 4;protein_id=XP_032793377.1"
NC_059182.1,RefSeq,region,1,19099978,.,+,.,ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059182.1,Gnomon,gene,6695812,6698731,.,+,.,ID=gene-LOC116930116;Dbxref=GeneID:116930116;Name=LOC116930116;gbkey=Gene;gene=LOC116930116;gene_biotype=protein_coding
NC_059182.1,Gnomon,mRNA,6695812,6698731,.,+,.,"ID=rna-XM_032937486.2;Parent=gene-LOC116930116;Dbxref=GeneID:116930116,Genbank:XM_032937486.2;Name=XM_032937486.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116930116;model_evidence=Supporting evidence includes similarity to: 14 ESTs%2C 376 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 145 samples with support for all annotated introns;product=heat shock 70 kDa protein cognate 4;transcript_id=XM_032937486.2"
NC_059182.1,Gnomon,exon,6696943,6697265,.,+,.,"ID=exon-XM_032937486.2-3;Parent=rna-XM_032937486.2;Dbxref=GeneID:116930116,Genbank:XM_032937486.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116930116;product=heat shock 70 kDa protein cognate 4;transcript_id=XM_032937486.2"
NC_059182.1,Gnomon,CDS,6696943,6697265,.,+,0,"ID=cds-XP_032793377.1;Parent=rna-XM_032937486.2;Dbxref=GeneID:116930116,Genbank:XP_032793377.1;Name=XP_032793377.1;gbkey=CDS;gene=LOC116930116;product=heat shock 70 kDa protein cognate 4;protein_id=XP_032793377.1"
NC_059182.1,RefSeq,region,1,19099978,.,+,.,ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059182.1,RefSeq,region,1,19099978,.,+,.,ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059182.1,RefSeq,region,1,19099978,.,+,.,ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059182.1,RefSeq,region,1,19099978,.,+,.,ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059182.1,RefSeq,region,1,19099978,.,+,.,ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059182.1,RefSeq,region,1,19099978,.,+,.,ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059182.1,RefSeq,region,1,19099978,.,+,.,ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059182.1,RefSeq,region,1,19099978,.,+,.,ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
